feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Enterococcus	Phase	Late	-1.75236557761504	0.597925592186816	46	14	0.0056081539374918	0.0333818686755464
Flavonifractor	Phase	Late	-1.56517525790459	0.539737310447524	46	28	0.00607616738845488	0.0345236783434936
ASV_491	Phase	Late	-1.29969635150786	0.47237889343467	46	24	0.00893559379580841	0.0485630097598283
ASV_318	Phase	Late	1.36852147638463	0.503687225961793	46	38	0.00975554736530438	0.050810142527627
Catenibacillus	Phase	Late	-0.928904137950781	0.346822554947051	46	21	0.0107560562004913	0.0537802810024565
Prevotella	Phase	Late	-1.29650913863332	0.497107939134294	46	18	0.0128320186114455	0.0590896188242647
Lachnospiraceae.UCG.008	Phase	Late	-1.21650824772214	0.471355490706893	46	23	0.0137087915672294	0.0590896188242647
ASV_400	Phase	Late	1.55365429631726	0.600380383608377	46	30	0.0133971312636221	0.0590896188242647
Parasutterella	Phase	Late	-0.831846661234373	0.319935287657707	46	11	0.0130895430995402	0.0590896188242647
ASV_450	Phase	Late	1.19069878799362	0.478693081140493	46	27	0.0172243757762446	0.0701721965555929
Eisenbergiella	Phase	Late	-1.16786465928034	0.470516666120616	46	16	0.017402704745787	0.0701721965555929
Coprobacter	Phase	Late	-0.981470793323039	0.403395028631748	46	16	0.0195409823831646	0.0757148591757905
ASV_1004	Phase	Late	-0.794907052377987	0.327794616879893	46	11	0.0199887228224087	0.0757148591757905
Butyricicoccus	Phase	Late	-0.839392261324619	0.35033343307477	46	46	0.0214166851568299	0.0787378130765805
Dialister	Phase	Late	-1.46474120496331	0.621331091783781	46	22	0.0235012627204075	0.0839330811443126
Phascolarctobacterium	Phase	Late	-1.52412872953456	0.681143115480717	46	34	0.0310094071118214	0.100718793489883
Collinsella	Phase	Late	0.982302802748006	0.435927288085272	46	29	0.0299225247112114	0.100718793489883
Defluviitaleaceae.UCG.011	Phase	Late	1.19232503797299	0.527831183100472	46	35	0.0294945508041338	0.100718793489883
X.Eubacterium..xylanophilum.group	Phase	Late	1.25772972249327	0.563595500747239	46	29	0.0314242635688435	0.100718793489883
Lachnospiraceae.ND3007.group	Phase	Late	-1.84582273235313	0.852488051898918	46	39	0.0361599698444328	0.112999905763852
UCG.005	Phase	Late	1.09401189229799	0.511298595253889	46	40	0.0386250477170321	0.11775929182022
ASV_46	Phase	Late	0.507407933791568	0.247575376075557	46	46	0.0471588363865074	0.137089640658452
Barnesiella	Phase	Late	-0.818176511100277	0.398543949912483	46	17	0.046823683658664	0.137089640658452
Subdoligranulum	Phase	Late	-1.0260597973555	0.514231669125746	46	46	0.0528265711587237	0.150075486246374
Roseburia	Phase	Late	1.20357478683663	0.61410453539519	46	37	0.0569976140017307	0.156668817063254
ASV_257	Phase	Late	0.790370837571604	0.404104246154612	46	35	0.0576541246792776	0.156668817063254
Christensenella	Phase	Late	-0.583199075568108	0.305560166973138	46	15	0.0636721171228008	0.169340737028726
Christensenellaceae.R.7.group	Phase	Late	1.08697588329826	0.573580914521451	46	37	0.0654868784924499	0.170538746074088
ASV_1	Phase	Late	-0.463333881702578	0.249083213837293	46	46	0.0703950059941431	0.179579096923835
Lachnospiraceae.UCG.001	Phase	Late	1.00073671285482	0.541395213681577	46	27	0.0720945548012033	0.180236387003008
ASV_138	Phase	Late	0.742551678859122	0.416084170105773	46	42	0.0820480107365218	0.201098065530691
Oribacterium	Phase	Late	0.617414965939579	0.352122654853989	46	11	0.0873598855553657	0.209999724892706
GCA.900066575	Phase	Late	-0.845685794460695	0.485401385781279	46	25	0.0892069324282857	0.210393708557278
Gemella	Phase	Late	-0.73365262773233	0.430459355744127	46	17	0.0962091463268463	0.22270635723807
Lachnoclostridium	Phase	Late	0.979460211632909	0.593689921583094	46	44	0.106909911505802	0.242977071604095
Veillonella	Phase	Late	-0.852135737607227	0.523222634929741	46	23	0.111400255414095	0.248661284406461
