"Pathway","EDF","F_stat","p_value","Dev_explained","p_adj"
"ANAEROFRUCAT-PWY",2.65472387427944,1.80158314756608,0.144139835065129,33.8223313477848,0.184261232454391
"PWY-5913",1.03640730779612,2.02006529193389,0.14474096403465,17.7437441891243,0.184396022674281
"PWY-5189",2.01350505877886,1.73834023683895,0.147932055237678,45.1157779552621,0.187818172520192
"GLYCOLYSIS",2.66371629139761,1.75583504410209,0.153185737429197,33.5554592330559,0.193826851441025
"PWY-5529",2.36193851019249,1.79575829629259,0.154602053803041,82.0057485126539,0.194955810219428
"PWY-5347",1.00015110315187,2.00612205626415,0.158724781050641,36.8387338639616,0.19947844105013
"PWY-5430",1.00000064200955,1.98615481934252,0.160720902690406,4.47253580216386,0.201306989228388
"PWY-6901",2.65459559905289,1.69577248517862,0.161423316120894,50.7345671372672,0.201508300660981
"PWY-7323",1.93715553973977,1.68212220340886,0.164017521414696,38.5551631291832,0.204061932997548
"PWY-5654",4.37507386339963,1.59410455149297,0.168582652087432,78.8813812473784,0.209042488588416
"TEICHOICACID-PWY",1.59066074359816,1.93660646865665,0.175786765330767,66.5435059145522,0.217251417618091
"POLYISOPRENSYN-PWY",2.05919159473578,1.77323079568759,0.176895830331318,34.7156466481374,0.2178981751101
"PWY-7295",1.00000060297757,1.7375186132856,0.189373275818898,3.96086543093402,0.232497883183597
"GALLATE-DEGRADATION-I-PWY",4.06600493338566,1.52559771276206,0.191544069781902,60.8593812294172,0.23286997375272
"GALLATE-DEGRADATION-II-PWY",4.06600493338566,1.52559771276206,0.191544069781902,60.8593812294172,0.23286997375272
"METHYLGALLATE-DEGRADATION-PWY",4.06598997353644,1.52556643947231,0.191554333248205,60.8585743441418,0.23286997375272
"PWY-5005",2.2536094973402,1.75461596310208,0.193013402747335,46.3625530342744,0.233427723607152
"PWY-7237",2.52272671546497,1.54907204299966,0.193268115244631,33.6831131415332,0.233427723607152
"HEMESYN2-PWY",2.38066145444682,1.48178900466399,0.199417126221828,42.7342746380218,0.240074986907832
"PWY-5484",2.41879493010269,1.55486254960081,0.203486415937496,32.9762968000054,0.244183699124995
"PWY-5823",1.00004310489438,1.60104153654961,0.207673575231489,77.060330471925,0.248406977447311
"NAD-BIOSYNTHESIS-II",1.0009588475954,1.58449364530456,0.209772763567095,60.5861828284088,0.25011367963769
"PWY-6628",1.98564647146269,1.57783802063879,0.213489698142759,62.3592976689949,0.253732165204812
"PWY-1622",1.28264232462207,1.63904088375433,0.215083620936287,76.361869862658,0.254003514248567
"PWY-6630",1.97579809738467,1.57492819679725,0.21446861675815,62.322286946164,0.254003514248567
"PWY-5667",1.00016899393526,1.53272297077634,0.217572651018008,36.6608275588043,0.25532184914416
"PWY0-1319",1.0001689939828,1.53272297093847,0.21757265098246,36.6608275595416,0.25532184914416
"PWY-5419",2.87186576517206,1.36948866548611,0.219157665580789,26.6851913006356,0.256373118226583
"PWY-5420",2.85627789349676,1.35083269930827,0.224788983535319,25.4492077288121,0.262136369514542
"PWY-5188",1.77229086727859,1.4397723061833,0.226010412570061,44.0567997625845,0.262737104612696
"METH-ACETATE-PWY",2.39130721502988,1.38538535825351,0.233360555309572,61.3342820997017,0.270436531386794
"PWY0-1297",2.24224003654141,1.65669320990337,0.234455244784661,35.1282531167264,0.270861338695323
"PWY-5647",4.08064606663633,1.35506398773957,0.264226048006981,79.0691326521984,0.30430987572321
"PWY-6588",1.63271060114485,1.34518431103653,0.265129293968005,53.6894200705236,0.304407707889191
"PWY-6892",1.0002796176287,1.10571620485466,0.29474579503604,52.4032590965065,0.337370571548944
"PENTOSE-P-PWY",2.01456422616596,0.966577558866073,0.317524802163459,28.4506846974815,0.362328915352168
"PWY-7187",1.23712658795174,1.3861100873032,0.321163741320328,37.2095033104885,0.365360586456153
"OANTIGEN-PWY",1.00008515736175,0.878665836478645,0.350056098114664,20.3796430411466,0.397014842983704
"GLUCUROCAT-PWY",2.14596434141195,1.39437698700794,0.367521363079089,13.6175692019034,0.415556070107662
"FAO-PWY",1.00500392216582,0.794333625167129,0.373487352250809,66.9091878481978,0.421022106173639
"1CMET2-PWY",1.00029295737176,0.589489571689149,0.443955496443439,41.0416994807804,0.49894696277027
"GLYCOGENSYNTH-PWY",1.86416666669891,0.793780495230426,0.447235118903157,43.7022365364419,0.501118868168598
