"Genus","NONOXIPENT-PWY","PWY-7111","GLYCOGENSYNTH-PWY","GLYCOCAT-PWY","PWY-5101","PWY-6737","PWY-5104","PWY-5667","PWY0-1319","ILEUSYN-PWY","VALSYN-PWY","PWY-7663","ANAGLYCOLYSIS-PWY","PWY-7220","PWY-7222","PWY-7208","PWY-5973","PWY-7229","PHOSLIPSYN-PWY","PWY-621","CALVIN-PWY","BRANCHED-CHAIN-AA-SYN-PWY","PWY-7219","COMPLETE-ARO-PWY","PWY-5103"
"Lachnospiraceae NC2004 group",-0.0769109051085934,-0.0807383877509294,-0.0952392326759105,-0.0769676306703753,-0.0723250912719101,-0.0453714927578624,-0.0778931529941851,-0.0638013292252103,-0.0638013292252103,-0.0734894580663805,-0.0734894580663805,-0.0351847760841883,-0.0718145612158731,-0.0111629934474994,-0.0111629934474994,-0.0591408764914455,-0.0449356015989069,-0.0380180686173995,-0.0706442233096362,-0.157305953932948,-0.0634191780721533,-0.0701307076977159,-0.0572808751761761,-0.0754002138316652,-0.0712144644833384
"NK4A214 group",0.121888292647091,0.13987325987662,0.0790961125409235,0.10966516493555,0.140039509990084,0.11053685471966,0.141898216213589,0.13959917185172,0.13959917185172,0.13532609461106,0.13532609461106,0.170320994620881,0.131485866764914,0.2102449858326,0.2102449858326,0.158469308604287,0.166864190459843,0.177943038111144,0.137481355091014,-0.012191674987372,0.130656113946364,0.148659054161132,0.159269106447439,0.144487823836828,0.1418727544845
"Monoglobus",0.15715321019918,0.197120698830287,0.170023413260894,0.158359325262258,0.162283677367251,0.127473524804135,0.172881965669058,0.161801529885352,0.161801529885352,0.163892825929131,0.163892825929131,0.143814294105526,0.151748083165258,0.128055684302403,0.128055684302403,0.149622454638248,0.146377288614568,0.147622214310865,0.15619488610203,0.192029042295434,0.158932528460553,0.164049561178665,0.150297162569574,0.154606635573422,0.159722175574871
"Christensenellaceae R-7 group",0.0719995010272706,0.112786922972037,0.0430635526157527,0.0442870853084565,0.0994390209739375,0.0252863423158793,0.111518407459749,0.0935912544279265,0.0935912544279265,0.091282136355912,0.091282136355912,0.0882532931705422,0.0834941108584809,0.153892223508536,0.153892223508536,0.106600285851822,0.0987582809708891,0.120676909527194,0.0989052248481991,0.0308612130897431,0.077043574530035,0.107352998366206,0.102051023364489,0.105364757740562,0.0986473233492468
"Dialister",0.298308560551525,0.30787960902082,0.323422456900538,0.309375279688049,0.314512177696911,0.290649856074633,0.307500249724766,0.313950912508896,0.313950912508896,0.315211815742912,0.315211815742912,0.287307140965961,0.313706816568403,0.296871970430403,0.296871970430403,0.314527725209044,0.284922152604704,0.31415303016663,0.326758953004357,0.367734421231821,0.298557320745659,0.314509068194484,0.314067518849897,0.320801146354854,0.315734212150593
"CAG-56",0.0731710753256243,0.109193995703965,0.0858970158751999,0.0720520064255526,0.0944950411156957,0.0360229203783409,0.0933389782023985,0.0894268613038007,0.0894268613038007,0.0870068362719653,0.0870068362719653,0.0479380754713907,0.0810754628181417,0.0902160669192783,0.0902160669192783,0.0804835586065336,0.0575287734001043,0.0845189888825497,0.0985982937492919,0.170967832121697,0.0693144494468649,0.091523188719913,0.0807209368580639,0.0951917616981095,0.0883694490924382
"Erysipelotrichaceae UCG-003",-0.0338727496656323,0.00915713734900786,0.00635655214086656,0.000800167202326086,-0.0210402174432535,-0.0689278359436568,-0.0188218434457599,-0.0355447408346719,-0.0355447408346719,-0.00936315054662167,-0.00936315054662167,-0.0817245397838419,-0.0310423074723296,-0.0895679697857473,-0.0895679697857473,-0.0498223511388634,-0.0723464607446395,-0.0671722452161653,-0.0324993283482069,0.123381005481057,-0.0345624460228611,-0.0191831129662131,-0.0503000629014462,-0.033845878378987,-0.0205804198717676
"Alistipes",0.268735913807398,0.240351744779797,0.238339233742073,0.282727941585995,0.264600412639375,0.315832852380127,0.261626434904104,0.265406611423033,0.265406611423033,0.26636509219916,0.26636509219916,0.326328366174784,0.272229441869916,0.270921608287538,0.270921608287538,0.290437590694902,0.314692230397322,0.286499160340662,0.261524913575791,0.105862858058549,0.27611711156,0.267057825968822,0.291172127364457,0.271256031486685,0.270127353189564
"Phascolarctobacterium",-0.0304616886579859,-0.0949242581269419,-0.0693116833356085,-0.0519732470751058,-0.0568884579089617,0.0182037056493477,-0.0616053778412073,-0.0458021938643845,-0.0458021938643845,-0.0618367172264193,-0.0618367172264193,0.0347790223794106,-0.0436961041366749,-0.0535956271791903,-0.0535956271791903,-0.0208746240058868,0.0216677876123281,-0.0309994776184139,-0.055569522972493,-0.2362576004535,-0.0232841589012122,-0.056645100893349,-0.0208205446690839,-0.0463399828248125,-0.0528234944259501
"[Eubacterium] ventriosum group",-0.090083742602325,-0.10264065323351,-0.084268036014225,-0.0764072785981741,-0.098905823181296,-0.090021047613439,-0.101371826077482,-0.0911047752784699,-0.0911047752784699,-0.0970339299416971,-0.0970339299416971,-0.0942245973444681,-0.0977773133813465,-0.145234434492454,-0.145234434492454,-0.10215999165205,-0.102022659771633,-0.115069188411262,-0.0925079488392538,-0.0821752175756942,-0.0887343076034435,-0.0982997716220639,-0.0970190025633909,-0.104318490555128,-0.0989147796082798
"Butyricicoccus",-0.116951277764509,-0.122283257702412,-0.097722116073561,-0.118112610460951,-0.132224743252926,-0.129743850011942,-0.135213159780272,-0.127997372820635,-0.127997372820635,-0.133995103893002,-0.133995103893002,-0.148098280391689,-0.134863864342011,-0.164264389777884,-0.164264389777884,-0.147199665631717,-0.149173035586339,-0.148564007642704,-0.132941246716026,-0.032466563171722,-0.117455815619775,-0.13883747313112,-0.143748507284452,-0.142019942679723,-0.13931514210652
"Tyzzerella",-0.0288216584752474,-0.0212837322412358,-0.00399312825084833,-0.00638123414338413,-0.0390166887624058,-0.00798326763324543,-0.0375401877474963,-0.0287588922377715,-0.0287588922377715,-0.0374774215100204,-0.0374774215100204,-0.0325188887494236,-0.0409684198610615,-0.0616962225703677,-0.0616962225703677,-0.0494299064465043,-0.0385833028369769,-0.048978587310368,-0.0450721362446054,-0.0108735034255885,-0.0154972829196472,-0.0434491806755855,-0.0459448858323657,-0.048799255203294,-0.0420085460820908
"Holdemanella",0.131064660599159,0.125200443176518,0.13623826562281,0.107224560906841,0.142218250441814,0.114374195627026,0.133312144880267,0.133268233109233,0.133268233109233,0.134170420405024,0.134170420405024,0.108957079873095,0.14311644575842,0.158146247389628,0.158146247389628,0.142996686382873,0.119703487838888,0.147363911611171,0.154792984874299,0.179132081964731,0.116541840324435,0.138737244592567,0.142138410858116,0.154305963413739,0.140278148557945
"UCG-002",0.0340182227627816,0.0167559129113477,-0.0218602148118626,0.00489517042083324,0.0397275121580897,0.0398395468793477,0.0394153087348507,0.03558073367526,0.03558073367526,0.0387774577218218,0.0387774577218218,0.0798897190346605,0.0369849021816937,0.0876260899865968,0.0876260899865968,0.0653864509187404,0.0740863204734956,0.0724252190063102,0.0356389917303141,-0.130710162393576,0.0372119592167766,0.0463061909903599,0.0620403472438346,0.0436203452727346,0.0449468363724294
"Lachnospira",0.326014894144216,0.276520800052058,0.315660143846409,0.318916157456489,0.314810684082935,0.37076903261418,0.302198669879377,0.326764329647316,0.326764329647316,0.314758432603635,0.314758432603635,0.384754514273618,0.324359268700117,0.310950046212386,0.310950046212386,0.35234366811367,0.368664044448103,0.346909514266493,0.32781085213272,0.16625674263485,0.333736169885315,0.320011945622376,0.353199099474778,0.32800791485465,0.322772316628813
"[Eubacterium] siraeum group",0.0324766903602893,0.065740491823682,0.0132258977633443,0.0421377953671072,0.0543471345822349,-0.0167375073372286,0.0581140234328013,0.0377874110269814,0.0377874110269814,0.0555794649000281,0.0555794649000281,0.0140996214781792,0.0384681557648006,0.0315725762553731,0.0315725762553731,0.0462693688986482,0.0207308045939001,0.0376962398567378,0.0495105040008097,0.0365049365655542,0.0223111048781232,0.0637362455978259,0.0427258494151787,0.0532378853442706,0.0567221435670817
