"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Genus"
"ASV_66",89.908048077073,-3.10978637275378,0.907942821985622,-3.42509054254412,0.000614594562781854,0.00475286461884634,"Lachnospiraceae ND3007 group"
"ASV_318",55.4550153800435,4.23630168566094,1.24565330635772,3.40086737139392,0.000671724097143162,0.00486999970428792,NA
"ASV_216",30.7338611608277,4.94859053335922,1.49884145616896,3.30161039581053,0.000961314967450583,0.00655956095436869,"Lachnospiraceae UCG-001"
"ASV_174",33.4921840199362,5.32956405877872,1.70675355097578,3.12263247129717,0.00179241421941581,0.0115511138584575,"Roseburia"
"ASV_235",78.1095230906095,2.97270910281886,0.960643082226348,3.09449904737712,0.001971455678058,0.0120362557186699,"UCG-005"
"ASV_4",2617.52252085538,-1.68375508078225,0.576484591232195,-2.9207286827621,0.00349213801836914,0.020023149542784,"Faecalibacterium"
"ASV_153",53.5954609174485,2.23680214882117,0.768902246237537,2.90908520526048,0.00362488052067641,0.020023149542784,"Lachnospiraceae FCS020 group"
"ASV_257",47.9359014451285,3.47109672592592,1.20888600766347,2.87131847330655,0.00408763476970161,0.0215529833311539,NA
"ASV_222",23.1506782904749,4.18622430866516,1.47400403951584,2.84003584551925,0.00451084647403461,0.0227503561299137,"[Eubacterium] xylanophilum group"
"ASV_283",7.3521708659552,-2.89696176040212,1.1080175222497,-2.61454507914296,0.00893463693661791,0.0431840785269866,"DTU089"
"ASV_450",14.8949689549845,3.48321967032846,1.34742900255705,2.58508586628184,0.0097354748743746,0.0451726034170981,NA
"ASV_508",6.34063365850935,3.04609691664515,1.19362961317688,2.55196158256988,0.0107118329418526,0.0477912546636501,"Gordonibacter"
"ASV_8",1131.70987667421,3.95784371605085,1.57233181645519,2.51718096309581,0.0118298051978433,0.0508243482574008,"Akkermansia"
"ASV_22",390.932406831436,2.06607486039358,0.825821457955288,2.50184206342752,0.0123549026698577,0.0511845967751249,"[Ruminococcus] torques group"
"ASV_47",276.231666014161,1.77386573360814,0.725619412617771,2.44462276334184,0.0145003722193718,0.0580014888774872,NA
"ASV_26",729.099631192788,2.12990482328144,0.883537552766025,2.4106556836362,0.0159238735711388,0.0615723111417366,NA
"ASV_138",89.2703279802544,1.98950935991786,0.867593248390188,2.29313605610623,0.0218401731282875,0.0817245188026243,NA
"ASV_78",164.862989583303,1.82635785365524,0.824686058818414,2.21460983137267,0.0267868566276981,0.0971023552754057,"Lachnospira"
