"Phase","Taxon","Degree","Betweenness","Closeness","Eigenvector","Hub_Score"
"Early","ASV_85",64,2954.64453420317,0.000460193281178095,0.000964813419476692,0.000964813419476348
"Early","ASV_856",60,2933.33681604132,0.000476644423260248,0.0327360313266084,0.0327360313266085
"Early","ASV_20",25,2909.07906874228,0.000527426160337553,0.0103353725532363,0.0103353725532361
"Early","ASV_717",146,2504.81111504658,0.000564334085778781,0.138283618175555,0.138283618175555
"Early","ASV_437",144,2426.96391637174,0.000564015792442188,0.134328947013739,0.134328947013738
"Early","ASV_530",137,1885.52939093276,0.000542005420054201,0.923830791552752,0.923830791552752
"Early","ASV_188",138,1776.4268397507,0.000559597090095132,0.119966696771602,0.119966696771603
"Early","ASV_559",142,1151.21374728706,0.000544365813826892,0.101081270873461,0.101081270873461
"Early","ASV_313",143,538.8966551376,0.000528820729772607,1,1
"Early","ASV_431",141,528.384838759103,0.000523834468308015,0.988290754626224,0.988290754626224
"Early","ASV_325",141,525.075305893289,0.000523834468308015,0.990942949766042,0.990942949766042
"Early","ASV_113",141,513.972472355478,0.000524658971668416,0.992257365426735,0.992257365426735
"Early","ASV_657",142,489.499638161006,0.000527983104540655,0.996506722069592,0.996506722069592
"Early","ASV_459",141,437.941982101214,0.000527704485488127,0.995665639279003,0.995665639279003
"Early","ASV_512",141,431.798426918874,0.000527704485488127,0.995005726228088,0.995005726228087
"Early","ASV_405",139,414.087798148795,0.000527148128624143,0.98781058078622,0.98781058078622
"Early","ASV_846",137,407.316124649494,0.000523560209424084,0.980067946212955,0.980067946212955
"Early","ASV_235",138,397.490398494935,0.000517063081695967,0.982157562445633,0.982157562445633
"Early","ASV_533",139,381.563363977005,0.000526038926880589,0.992836284579463,0.992836284579463
"Early","ASV_190",138,364.245495240142,0.000526870389884088,0.98696949799563,0.986969497995631
"Early","ASV_461",138,364.245495240142,0.000526870389884088,0.98696949799563,0.986969497995631
"Early","ASV_573",138,364.245495240142,0.000526870389884088,0.986969497995631,0.986969497995631
"Early","ASV_364",137,361.64086673438,0.000525486074619023,0.98542636059142,0.98542636059142
"Early","ASV_394",137,361.64086673438,0.000525486074619023,0.98542636059142,0.98542636059142
"Early","ASV_523",137,361.64086673438,0.000525486074619023,0.98542636059142,0.98542636059142
