"taxon","lfc_(Intercept)","lfc_PhaseEarly","lfc_PhaseMid","lfc_PhaseLate","lfc_PhasePost-Mission","se_(Intercept)","se_PhaseEarly","se_PhaseMid","se_PhaseLate","se_PhasePost-Mission","W_(Intercept)","W_PhaseEarly","W_PhaseMid","W_PhaseLate","W_PhasePost-Mission","p_(Intercept)","p_PhaseEarly","p_PhaseMid","p_PhaseLate","p_PhasePost-Mission","q_(Intercept)","q_PhaseEarly","q_PhaseMid","q_PhaseLate","q_PhasePost-Mission","diff_(Intercept)","diff_PhaseEarly","diff_PhaseMid","diff_PhaseLate","diff_PhasePost-Mission","passed_ss_(Intercept)","passed_ss_PhaseEarly","passed_ss_PhaseMid","passed_ss_PhaseLate","passed_ss_PhasePost-Mission","diff_robust_(Intercept)","diff_robust_PhaseEarly","diff_robust_PhaseMid","diff_robust_PhaseLate","diff_robust_PhasePost-Mission"
"ASV_66",1.81725882064193,-1.05270954593564,-2.28956476048486,-2.36782662566155,-1.47885691718642,1.36352748361379,1.47114150674931,1.40822863659143,1.4353424589067,1.5520743466384,1.33276288338949,-0.71557327497458,-1.62584732407279,-1.64965971080179,-0.952826081037579,0.184838168542364,0.475481621342892,0.106297181302367,0.101320387393081,0.342368594486528,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_69",0.140055868589828,-0.0956959572841528,-0.0515417380467565,-0.37267808201263,-0.0791649173584122,0.820730006884558,0.917242241558814,0.857635537024735,0.881786993904417,0.994426508992138,0.170647920040686,-0.104330080918996,-0.0600974840962892,-0.422639576891998,-0.0796086152597105,0.864724611864099,0.917043159855514,0.952155912268952,0.673147776385354,0.936651897601631,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_76",-0.0384893693647164,-0.254472951150175,-0.052963768941801,0.433541525067347,-0.157048126058499,1.61846408732914,1.72108598592851,1.66906109256774,1.69166350103703,1.81853308647053,-0.0237814170027296,-0.147856035799913,-0.0317326724453926,0.256281184054379,-0.0863597848325673,0.981064584302393,0.882692732906188,0.974735450170957,0.798151684505772,0.931317499860817,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_78",-2.11155167201813,2.22482831831957,1.92064353415029,1.92258510273803,3.04295894022526,1.30389771498386,1.40463904215445,1.35026332862129,1.36583767213841,1.46253285371609,-1.61941511803652,1.58391462258311,1.4224214591619,1.40762342550411,2.08060894665958,0.107546017041283,0.115406893043446,0.157066496921229,0.161397606672929,0.0392412373053931,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_88",-0.414699994356879,-0.38672560913047,0.3036985162914,0.951390754718225,0.702143340894024,1.69947223884697,1.8004508939429,1.74967773266737,1.77110296088066,1.89116031503735,-0.244016927654104,-0.214793755515075,0.173573973435905,0.537174165326422,0.371276477890853,0.807630976398165,0.83028971266378,0.862490332568215,0.592133764803232,0.711080903296336,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_94",-1.08946357700984,1.15144369738428,1.04867460519278,0.928245194437471,1.53326778107335,1.29619629292647,1.38680892935381,1.33855184876411,1.35728221184167,1.45148474310401,-0.840508172222983,0.830282869552042,0.783439659928766,0.683899918778096,1.05634440069584,0.402007362551714,0.407743821053422,0.434646764116006,0.495129863936042,0.292567700055852,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_105",-0.188307890545723,-0.301047693210396,0.264500804881415,0.227166835699334,0.411744777518506,1.39576753721106,1.50029655868953,1.4417804782026,1.46779773857593,1.58031522413925,-0.13491350495369,-0.200658790734915,0.183454283700079,0.154767124740043,0.260545979200302,0.892879728246081,0.841265152346249,0.854714813540736,0.877234359946167,0.794836734018684,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_106",0.0304755621300264,-0.549474040558631,-0.278971106680045,0.60401645270805,-0.141941879419668,1.95414236327539,2.06807529863198,2.01249269496185,2.05241825892374,2.1923435715006,0.0155953643412886,-0.265693440138328,-0.138619686609761,0.294295010328346,-0.064744359079865,0.987587668104738,0.791011591810169,0.890023993693455,0.769130557949664,0.948504264200729,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_116",-1.80876902079133,1.76633481111619,1.76484033271038,2.06427366751572,1.48954712569913,1.45708424622404,1.55644412165278,1.50617033370368,1.53194503149656,1.65605415255685,-1.24136200461893,1.1348526982392,1.17174020309551,1.34748546786899,0.899455566352924,0.216690237079542,0.258509262753279,0.243428063790387,0.180149867095651,0.370060443656987,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_126",0.0135452620721355,-0.104903629100878,-0.101430125932719,0.00370760512796664,0.25020795313825,0.995965873772983,1.09848492309717,1.04982910051721,1.07354837762632,1.17483359368145,0.0136001266999465,-0.0954984696604699,-0.0966158452673378,0.00345359855711801,0.212973100602443,0.989167196597983,0.924047222340231,0.923161304288174,0.997249052070718,0.831639052221883,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_149",-0.352147523099092,1.02427671692063,-0.106582697078045,0.115733242283092,0.511820084490287,2.10311822944461,2.2235787157927,2.1604978231506,2.18436105579129,2.35167777610645,-0.167440668892917,0.460643335738838,-0.0493324714035669,0.0529826522846371,0.217640396864949,0.867383024586961,0.646118447654076,0.960759013430298,0.957858166219581,0.828181043255727,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_166",1.40283024092699,-1.3307179902687,-1.35040066215097,-1.09070860284503,-3.10285509246392,1.64820074610883,1.7439175564184,1.6956276022323,1.7132909856637,1.84573396403483,0.851128264708579,-0.763062442585699,-0.7964016747387,-0.636616086801223,-1.68109551697309,0.3963000583224,0.446841243027204,0.427284821577622,0.525520726370649,0.095202101596933,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_176",0.518550600674303,-0.851679504220283,-0.425247553536034,-0.586574333887775,-0.421751648935934,1.89121499348022,1.99563239621984,1.94532949998065,1.9709508389742,2.1105007006932,0.274189133684935,-0.426771737036113,-0.218599241691582,-0.297609824805709,-0.19983487747595,0.784453518065956,0.670379698952536,0.827367299758717,0.766562313501399,0.84197868316269,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
