sample	raw_reads	cutadapt_trimmed
16S_FCS_Hsap_S6_scWim_1d_Rep5_06-1	121979	112076
16S_FCS_Hsap_S6_scWim_210d_Rep6_06-210	81455	73393
16S_FCS_Hsap_S6_scWim_21d_Rep6_06-21	83057	71787
16S_FCS_Hsap_S6_scWim_240d_Rep5_06-240	49128	42897
16S_FCS_Hsap_S6_scWim_270d_Rep5_06-270	62519	57491
16S_FCS_Hsap_S6_scWim_300d_Rep6_06-300	52115	48078
16S_FCS_Hsap_S6_scWim_30d_Rep6_06-30	70160	64192
16S_FCS_Hsap_S6_scWim_330d_Rep6_06-330	63192	57421
16S_FCS_Hsap_S6_scWim_360d_Rep6_06-360	37477	34542
16S_FCS_Hsap_S6_scWim_390d_Rep6_06-390	80343	73852
16S_FCS_Hsap_S6_scWim_420d_Rep6_06-420	84997	78618
16S_FCS_Hsap_S6_scWim_450d_Rep6_06-450	63821	58703
16S_FCS_Hsap_S6_scWim_45d_Rep6_06-45	61662	56065
16S_FCS_Hsap_S6_scWim_490d_Rep6_06-490	47295	43586
16S_FCS_Hsap_S6_scWim_504d_Rep6_06-504	101654	94066
16S_FCS_Hsap_S6_scWim_520d_Rep6_06-520	115632	108206
16S_FCS_Hsap_S6_scWim_60d_Rep6_06-60	79222	71909
16S_FCS_Hsap_S6_scWim_75d_Rep6_06-75	93836	83746
16S_FCS_Hsap_S6_scWim_7d_Rep6_06-7	62530	56720
16S_FCS_Hsap_S6_scWim_90d_Rep6_06-90	59815	51988
